frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
71,1.1842,116.83,1.805,0.423,163.99933628024036,170.22111670899608,155.25349781524838,160.0,127.9508415751194,80.41090128740959,25.749,18.126,95.801,113.05,131.941,150.0,131.459,158.113,0.009,0.007
72,1.2009,115.95,1.499,0.173,166.04940778835913,170.65081772016327,151.12915271765613,160.0,135.30459653653114,79.41904809960276,25.071,17.305,95.058,114.135,133.44,150.0,132.031,156.051,0.009,0.007
73,1.2176000000000002,113.233,1.457,0.759,167.7071900973001,170.93094149518993,145.74493955986065,160.0,141.84170597998084,78.87966366802999,30.816,14.077,99.559,114.767,142.091,150.0,140.832,156.703,0.01,0.007
74,1.2343,112.129,1.297,1.951,168.57816468276866,171.09385228733115,139.91673000317195,160.0,146.73150989720912,78.9659438715714,32.932,13.062,100.831,113.801,142.376,150.0,145.099,159.984,0.01,0.007
75,1.2509,115.594,1.338,3.002,168.58667230922055,171.229736947905,134.59564386925422,160.0,149.45807259632667,79.70357081427717,27.552,12.621,99.747,111.35,147.638,150.0,149.95,162.497,0.01,0.007
76,1.2676,114.302,1.136,3.446,167.96599664466459,171.46505660757,130.3729143429975,160.0,150.01411479756695,81.00164924693964,27.096,10.797,99.93,106.185,144.977,150.0,148.647,156.336,0.009,0.007
77,1.2843000000000002,116.437,0.823,3.867,167.11908080259406,171.88632938663895,127.3561628286499,160.0,148.8464826571062,82.72033921657557,21.18,11.355,98.413,104.879,146.831,150.0,151.69,158.102,0.009,0.007
78,1.301,113.763,0.402,4.694,166.41079003479462,172.45739159517325,125.40416631033176,160.0,146.64440553702815,84.72298641742591,25.927,12.386,100.953,108.306,144.664,150.0,156.032,162.901,0.008,0.007
79,1.3175999999999999,113.883,0.158,5.266,165.97609066978976,173.01421028362273,124.35449440826935,160.0,144.14597240037148,86.86191174660274,24.985,18.677,97.503,114.02,136.644,150.0,150.099,163.615,0.007,0.008
80,1.3343,113.792,0.036,5.647,165.6722374309608,173.36772505657208,124.08734325366709,160.0,141.971469495484,88.9207827639813,30.531,17.56,99.127,113.912,132.598,150.0,152.016,164.497,0.006,0.009
81,1.3510000000000002,114.691,0.294,5.874,165.21566219154596,173.43869940432862,124.53967182841954,160.0,140.42941041581298,90.584549907787,33.247,25.481,99.577,121.698,133.134,150.0,146.871,157.521,0.006,0.01
82,1.3677,116.97,0.396,6.767,164.3885954019092,173.2996529676896,125.69306664658393,160.0,139.43265826017299,91.4949147223775,30.486,31.724,96.782,124.524,136.922,150.0,144.669,147.832,0.007,0.009
83,1.3844,120.365,0.576,7.321,163.15951143753762,173.0846681421674,127.50464333444435,160.0,138.67502070122237,91.383393526542,30.008,38.147,99.372,129.572,130.383,142.52,144.563,151.401,0.006,0.011
84,1.401,124.096,0.574,7.622,161.660897534792,172.87336828300587,129.87391513267823,160.0,137.9186136251667,90.20160819692526,30.956,39.479,101.525,128.059,128.458,150.0,143.355,140.664,0.006,0.008
